"Seller Gstin","Invoice Number","Invoice Date","Transaction Type","Order Id","Shipment Id","Shipment Date","Order Date","Shipment Item Id",Quantity,"Item Description",Asin,Hsn/sac,Sku,"Product Tax Code","Bill From City","Bill From State","Bill From Country","Bill From Postal Code","Ship From City","Ship From State","Ship From Country","Ship From Postal Code","Ship To City","Ship To State","Ship To Country","Ship To Postal Code","Invoice Amount","Tax Exclusive Gross","Total Tax Amount","Cgst Rate","Sgst Rate","Utgst Rate","Igst Rate","Compensatory Cess Rate","Principal Amount","Principal Amount Basis","Cgst Tax","Sgst Tax","Igst Tax","Utgst Tax","Compensatory Cess Tax","Shipping Amount","Shipping Amount Basis","Shipping Cgst Tax","Shipping Sgst Tax","Shipping Utgst Tax","Shipping Igst Tax","Shipping Cess Tax Amount","Gift Wrap Amount","Gift Wrap Amount Basis","Gift Wrap Cgst Tax","Gift Wrap Sgst Tax","Gift Wrap Utgst Tax","Gift Wrap Igst Tax","Gift Wrap Compensatory Cess Tax","Item Promo Discount","Item Promo Discount Basis","Item Promo Tax","Shipping Promo Discount","Shipping Promo Discount Basis","Shipping Promo Tax","Gift Wrap Promo Discount","Gift Wrap Promo Discount Basis","Gift Wrap Promo Tax","Tcs Cgst Rate","Tcs Cgst Amount","Tcs Sgst Rate","Tcs Sgst Amount","Tcs Utgst Rate","Tcs Utgst Amount","Tcs Igst Rate","Tcs Igst Amount","Warehouse Id","Fulfillment Channel","Payment Method Code","Credit Note No","Credit Note Date"
24BMGPV7351C1Z0,IN-1,"2023-04-02 23:50:49",Shipment,408-7245150-0906756,A008844731ML1HDCSQ5W1,"2023-04-03 14:21:40","2023-04-02 23:35:59",339389057030,1,"Apprema Space Saver Vacuum Bag Cloth Storage Bag  70   100 cm   3 ",B08QJRHJJF,63051060,"VACUUM BAG 70*100 (3 PCS)",A_GEN_SUPERREDUCED,SURAT,GUJARAT,IN,395004,SURAT,GUJARAT,IN,395004,"NEW DELHI",DELHI,IN,110035,420,400,20,0,0,0,0.05,0,420,400,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,4,,MFN,COD,,
24BMGPV7351C1Z0,IN-2,"2023-04-02 23:51:49",Shipment,408-9339315-7510724,A00317602J7RWFPDN6BM9,"2023-04-02 23:51:49","2023-04-02 23:43:28",339328856013,1,"Apprema Space Saver Vacuum Bag Cloth Storage Bag  70   100 cm   3 ",B08QJRHJJF,63051060,"VACUUM BAG 70*100 (3 PCS)",A_GEN_SUPERREDUCED,SURAT,GUJARAT,IN,395004,SURAT,GUJARAT,IN,395004,"NEW DELHI",DELHI,IN,110035,420,400,20,0,0,0,0.05,0,420,400,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,4,,MFN,CC_GC_POA,,
24BMGPV7351C1Z0,IN-3,"2023-04-04 10:18:42",Shipment,403-8302954-4237119,A086343630JHJIRT2L5W7,"2023-04-05 13:34:14","2023-04-04 10:04:04",339344012703,1,"Apprema Space Saver Vacuum Bag Cloth Storage Bag  70   100 cm   1 ",B08QJQ78ZD,,"VACUUM BAG 70*100 (1 PCS)",A_GEN_SUPERREDUCED,SURAT,GUJARAT,IN,395004,SURAT,GUJARAT,IN,395004,AMRITSAR,PUNJAB,IN,143001,249,237.14,11.86,0,0,0,0.05,0,249,237.14,0,0,11.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,2.37,,MFN,COD,,
24BMGPV7351C1Z0,IN-1,"2023-04-02 23:50:49",Refund,408-7245150-0906756,A008844731ML1HDCSQ5W1,"2023-04-03 14:21:40","2023-04-02 23:35:59",339389057030,1,"Apprema Space Saver Vacuum Bag Cloth Storage Bag  70   100 cm   3 ",B08QJRHJJF,63051060,"VACUUM BAG 70*100 (3 PCS)",A_GEN_SUPERREDUCED,SURAT,GUJARAT,IN,395004,SURAT,GUJARAT,IN,395004,"NEW DELHI",DELHI,IN,110035,-420,-400,-20,0,0,0,0.05,0,420,-400,0,0,-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,-4,,MFN,COD,CN-2,"2023-04-07 05:35:04"
24BMGPV7351C1Z0,IN-76,"2023-03-31 17:01:17",Refund,171-0328112-7019528,A02265348ZEO4W3LIVWB,"2023-04-01 13:29:09","2023-03-31 16:47:06",339246149900,1,"Apprema Plastic 3 Layer 18 Grid Square Jewelry  Makeup  Cosmetic Storage Box for Home  Multicolor ",B08RWNXFVP,,"18 GRID STORAGE BOX-",A_GEN_SUPERREDUCED,SURAT,GUJARAT,IN,395004,SURAT,GUJARAT,IN,395004,BENGALURU,KARNATAKA,IN,560049,-449,-427.62,-21.38,0,0,0,0.05,0,449,-427.62,0,0,-21.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,-4.28,,MFN,PayStation,CN-1,"2023-04-05 00:02:31"
